n,operation,time_seconds
1000,max,0.000000086
1000,first_second_largest,0.000000920
1000,mean,0.000000040
1000,median,0.000088271
1000,std_dev,0.000001498
1000,mode,0.000064798
1000,remove_duplicates,0.000014239
1000,reverse,0.000000399
1000,partition,0.000003583
2000,max,0.000000040
2000,first_second_largest,0.000001467
2000,mean,0.000000037
2000,median,0.000151309
2000,std_dev,0.000002812
2000,mode,0.000166856
2000,remove_duplicates,0.000027307
2000,reverse,0.000000718
2000,partition,0.000002024
5000,max,0.000000038
5000,first_second_largest,0.000005589
5000,mean,0.000000042
5000,median,0.000456116
5000,std_dev,0.000006950
5000,mode,0.000493309
5000,remove_duplicates,0.000072712
5000,reverse,0.000001788
5000,partition,0.000018846
10000,max,0.000000042
10000,first_second_largest,0.000005383
10000,mean,0.000000045
10000,median,0.000951597
10000,std_dev,0.000013846
10000,mode,0.000980512
10000,remove_duplicates,0.000131807
10000,reverse,0.000003632
10000,partition,0.000026028
20000,max,0.000000060
20000,first_second_largest,0.000010648
20000,mean,0.000000046
20000,median,0.002187388
20000,std_dev,0.000027654
20000,mode,0.002068529
20000,remove_duplicates,0.000233593
20000,reverse,0.000008765
20000,partition,0.000065662
50000,max,0.000000092
50000,first_second_largest,0.000026263
50000,mean,0.000000039
50000,median,0.005904545
50000,std_dev,0.000070714
50000,mode,0.005809348
50000,remove_duplicates,0.000569779
50000,reverse,0.000018392
50000,partition,0.000255889
100000,max,0.000000071
100000,first_second_largest,0.000052193
100000,mean,0.000000046
100000,median,0.012748013
100000,std_dev,0.000169064
100000,mode,0.012340361
100000,remove_duplicates,0.001174514
100000,reverse,0.000036869
100000,partition,0.000108999
200000,max,0.000000042
200000,first_second_largest,0.000107582
200000,mean,0.000000039
200000,median,0.026395081
200000,std_dev,0.000306895
200000,mode,0.027117239
200000,remove_duplicates,0.002351043
200000,reverse,0.000074135
200000,partition,0.000775394
500000,max,0.000000109
500000,first_second_largest,0.000268069
500000,mean,0.000000060
500000,median,0.070891319
500000,std_dev,0.000818045
500000,mode,0.070297706
500000,remove_duplicates,0.006076720
500000,reverse,0.000200363
500000,partition,0.002303333
1000000,max,0.000000166
1000000,first_second_largest,0.000557425
1000000,mean,0.000000040
1000000,median,0.149475949
1000000,std_dev,0.001804088
1000000,mode,0.149922998
1000000,remove_duplicates,0.012463307
1000000,reverse,0.000457827
1000000,partition,0.004117275
