n	ua_insert	sa_insert	slu_insert	sls_insert	dlu_insert	dls_insert	ua_search	sa_search	slu_search	sls_search	dlu_search	dls_search	ua_delete	sa_delete	slu_delete	sls_delete	dlu_delete	dls_delete	ua_min	sa_min	slu_min	sls_min	dlu_min	dls_min	ua_max	sa_max	slu_max	sls_max	dlu_max	dls_max	ua_pred	sa_pred	slu_pred	sls_pred	dlu_pred	dls_pred	ua_succ	sa_succ	slu_succ	sls_succ	dlu_succ	dls_succ
500	0.0017	0.3667	0.0150	0.8850	0.0183	0.9167	0.0017	0.0050	1.2483	1.2017	1.4033	1.4383	0.0000	0.0200	1.8978	1.9198	0.0080	0.0100	0.0000	0.0000	0.6983	0.0000	0.6567	0.0000	0.0000	0.0000	0.6550	0.6567	0.7283	0.6567	0.0000	0.0017	0.6567	0.5483	0.6550	0.6283	0.0000	0.0017	0.7033	0.0017	0.6550	0.0000
1000	0.0033	0.4233	0.0100	1.6300	0.0233	1.4233	0.0000	0.0067	1.4167	1.4167	1.7467	1.7033	0.0000	0.0400	2.5133	2.5733	0.0067	0.0100	0.0000	0.0000	1.1000	0.0000	1.1633	0.0000	0.0000	0.0033	1.0867	1.0900	1.1867	1.1300	0.0000	0.0067	1.0900	1.0900	1.1833	1.0900	0.0000	0.0067	1.0900	0.0000	1.2300	0.0033
2000	0.0000	0.7600	0.0200	2.3800	0.0200	2.4600	0.0000	0.0067	2.5933	2.4867	2.6333	2.5333	0.0000	0.0800	4.9600	4.7200	0.0133	0.0200	0.0067	0.0000	2.3133	0.0000	2.4000	0.0000	0.0000	0.0000	2.3333	2.3533	2.4333	2.3200	0.0000	0.0067	2.3200	2.2733	2.5000	2.3867	0.0000	0.0067	2.3400	0.0000	2.4000	0.0000
4000	0.0267	1.4800	0.0133	4.6267	0.0400	4.9067	0.0133	0.0133	4.8000	4.7067	5.0400	5.7200	0.0000	0.1733	11.3733	9.8533	0.0000	0.0133	0.0000	0.0000	4.5467	0.0000	5.0667	0.0133	0.0000	0.0000	4.5467	4.5733	4.6400	4.6800	0.0000	0.0133	4.8133	4.5867	4.6933	4.6800	0.0000	0.0000	4.5600	0.0000	4.6400	0.0133
8000	0.0270	2.9459	0.0000	9.1081	0.1081	9.4054	0.0000	0.0000	9.7568	9.5135	10.4324	43.1081	0.0270	0.3514	18.3514	18.2162	0.0270	0.0000	0.0000	0.0270	9.8108	0.0000	9.3243	0.0000	0.0000	0.0000	9.1351	9.1081	9.4865	9.2162	0.0000	0.0270	9.8919	9.1622	9.4595	9.3514	0.0000	0.0270	9.1351	0.0270	9.4324	0.0000
16000	0.0667	5.8667	0.1333	18.9667	0.1000	18.8000	0.0000	0.0000	19.6667	18.9667	23.1000	18.9333	0.0000	0.7667	37.4667	36.4000	0.0000	0.0333	0.0000	0.0000	18.8667	0.0000	18.9000	0.0000	0.0333	0.0000	18.3333	18.1667	19.4667	18.8333	0.0000	0.0333	18.2000	19.2333	18.9667	18.7667	0.0000	0.0333	18.2000	0.0000	19.7333	0.0000
32000	0.1000	11.5667	0.2667	37.5667	0.1333	40.7000	0.0000	0.0333	40.2333	38.0667	45.5333	41.4333	0.0000	1.5333	74.5000	73.7667	0.0333	0.0333	0.0000	0.0333	37.8000	0.0333	41.2000	0.0333	0.0000	0.0000	37.5667	37.4667	40.3667	41.7333	0.0000	0.0333	36.8000	37.6000	40.9667	41.6333	0.0000	0.0333	37.3667	0.0000	40.3333	0.0000
64000	0.1000	23.1000	0.3667	80.1333	0.2000	85.6333	0.0333	0.0333	84.1667	79.7000	130.1000	91.1667	0.0333	3.2000	158.7000	158.2667	0.0333	0.0333	0.0000	0.0000	79.9667	0.0000	96.2333	0.0000	0.0000	0.0000	78.0333	80.7667	87.8333	101.6333	0.0000	0.0333	80.1333	60.3333	90.7000	67.3333	0.0000	0.0667	78.2333	0.0000	87.3000	0.0333
																																										
																		
