n,operation,time_seconds
20,add,0.000003374
20,multiply,0.000005665
20,is_zero,0.000000038
20,is_symmetric,0.000000041
20,determinant,0.000004623
20,transpose,0.000000301
20,eigenvalue,0.000089107
40,add,0.000005809
40,multiply,0.000032667
40,is_zero,0.000000037
40,is_symmetric,0.000000039
40,determinant,0.000022318
40,transpose,0.000000676
40,eigenvalue,0.000563052
60,add,0.000011593
60,multiply,0.000087308
60,is_zero,0.000000040
60,is_symmetric,0.000000040
60,determinant,0.000065967
60,transpose,0.000001345
60,eigenvalue,0.000560089
80,add,0.000018027
80,multiply,0.000220052
80,is_zero,0.000000039
80,is_symmetric,0.000000040
80,determinant,0.000136564
80,transpose,0.000002486
80,eigenvalue,0.006806061
100,add,0.000028904
100,multiply,0.000645351
100,is_zero,0.000000041
100,is_symmetric,0.000000040
100,determinant,0.000286905
100,transpose,0.000007889
100,eigenvalue,0.003930553
150,add,0.000076792
150,multiply,0.001962432
150,is_zero,0.000000040
150,is_symmetric,0.000000040
150,determinant,0.000841951
150,transpose,0.000008872
150,eigenvalue,0.011159196
200,add,0.000119223
200,multiply,0.004905262
200,is_zero,0.000000041
200,is_symmetric,0.000000051
200,determinant,0.002051162
200,transpose,0.000019019
200,eigenvalue,0.049088816
250,add,0.000283657
250,multiply,0.010437602
250,is_zero,0.000000050
250,is_symmetric,0.000000063
250,determinant,0.003931648
250,transpose,0.000025578
250,eigenvalue,0.057095994
300,add,0.000347158
300,multiply,0.018234835
300,is_zero,0.000000041
300,is_symmetric,0.000000090
300,determinant,0.006472125
300,transpose,0.000050402
300,eigenvalue,0.115378494
350,add,0.000476860
350,multiply,0.029998177
350,is_zero,0.000000053
350,is_symmetric,0.000000143
350,determinant,0.010332153
350,transpose,0.000086790
350,eigenvalue,0.130491805
400,add,0.000638886
400,multiply,0.046680728
400,is_zero,0.000000047
400,is_symmetric,0.000000194
400,determinant,0.012887424
400,transpose,0.000100387
400,eigenvalue,0.206837278
