n,metric,value
100,partA_reversal_count,181
500,partA_reversal_count,985
1000,partA_reversal_count,1981
2000,partA_reversal_count,3978
5000,partA_reversal_count,9972
10000,partA_reversal_count,19974
20000,partA_reversal_count,39969
40000,partA_reversal_count,79959
100,partB_total_cost,1866
500,partB_total_cost,17580
1000,partB_total_cost,43640
2000,partB_total_cost,106174
5000,partB_total_cost,337500
10000,partB_total_cost,791984
20000,partB_total_cost,1836198
50000,partB_total_cost,5534642
100000,partB_total_cost,12591784
200000,partB_total_cost,28418518
500000,partB_total_cost,82299232
1000000,partB_total_cost,183053308
